,구분,일,미세먼지,사용일자
442,서울시 평균,18,20,20240818
443,강남구,18,21,20240818
444,강동구,18,14,20240818
445,강북구,18,21,20240818
446,강서구,18,24,20240818
447,관악구,18,26,20240818
448,광진구,18,20,20240818
449,구로구,18,15,20240818
450,금천구,18,23,20240818
451,노원구,18,19,20240818
452,도봉구,18,13,20240818
453,동대문구,18,21,20240818
454,동작구,18,21,20240818
455,마포구,18,24,20240818
456,서대문구,18,17,20240818
457,서초구,18,15,20240818
458,성동구,18,20,20240818
459,성북구,18,17,20240818
460,송파구,18,21,20240818
461,양천구,18,20,20240818
462,영등포구,18,23,20240818
463,용산구,18,22,20240818
464,은평구,18,18,20240818
465,종로구,18,17,20240818
466,중구,18,19,20240818
467,중랑구,18,18,20240818
468,서울시 평균,19,25,20240819
469,강남구,19,28,20240819
470,강동구,19,20,20240819
471,강북구,19,25,20240819
472,강서구,19,29,20240819
473,관악구,19,28,20240819
474,광진구,19,25,20240819
475,구로구,19,19,20240819
476,금천구,19,30,20240819
477,노원구,19,25,20240819
478,도봉구,19,19,20240819
479,동대문구,19,28,20240819
480,동작구,19,25,20240819
481,마포구,19,26,20240819
482,서대문구,19,22,20240819
483,서초구,19,21,20240819
484,성동구,19,24,20240819
485,성북구,19,23,20240819
486,송파구,19,27,20240819
487,양천구,19,25,20240819
488,영등포구,19,27,20240819
489,용산구,19,28,20240819
490,은평구,19,24,20240819
491,종로구,19,23,20240819
492,중구,19,22,20240819
493,중랑구,19,24,20240819
494,서울시 평균,20,25,20240820
495,강남구,20,27,20240820
496,강동구,20,18,20240820
497,강북구,20,24,20240820
498,강서구,20,26,20240820
499,관악구,20,29,20240820
500,광진구,20,24,20240820
501,구로구,20,19,20240820
502,금천구,20,27,20240820
503,노원구,20,26,20240820
504,도봉구,20,19,20240820
505,동대문구,20,28,20240820
506,동작구,20,26,20240820
507,마포구,20,29,20240820
508,서대문구,20,21,20240820
509,서초구,20,23,20240820
510,성동구,20,26,20240820
511,성북구,20,23,20240820
512,송파구,20,26,20240820
513,양천구,20,25,20240820
514,영등포구,20,28,20240820
515,용산구,20,28,20240820
516,은평구,20,23,20240820
517,종로구,20,23,20240820
518,중구,20,23,20240820
519,중랑구,20,24,20240820
520,서울시 평균,21,12,20240821
521,강남구,21,15,20240821
522,강동구,21,10,20240821
523,강북구,21,13,20240821
524,강서구,21,12,20240821
525,관악구,21,16,20240821
526,광진구,21,13,20240821
527,구로구,21,6,20240821
528,금천구,21,13,20240821
529,노원구,21,13,20240821
530,도봉구,21,10,20240821
531,동대문구,21,16,20240821
532,동작구,21,13,20240821
533,마포구,21,15,20240821
534,서대문구,21,11,20240821
535,서초구,21,7,20240821
536,성동구,21,13,20240821
537,성북구,21,12,20240821
538,송파구,21,13,20240821
539,양천구,21,14,20240821
540,영등포구,21,15,20240821
541,용산구,21,13,20240821
542,은평구,21,11,20240821
543,종로구,21,12,20240821
544,중구,21,14,20240821
545,중랑구,21,12,20240821
546,서울시 평균,22,15,20240822
547,강남구,22,19,20240822
548,강동구,22,13,20240822
549,강북구,22,16,20240822
550,강서구,22,16,20240822
551,관악구,22,19,20240822
552,광진구,22,17,20240822
553,구로구,22,9,20240822
554,금천구,22,16,20240822
555,노원구,22,16,20240822
556,도봉구,22,11,20240822
557,동대문구,22,19,20240822
558,동작구,22,17,20240822
559,마포구,22,19,20240822
560,서대문구,22,12,20240822
561,서초구,22,11,20240822
562,성동구,22,16,20240822
563,성북구,22,14,20240822
564,송파구,22,17,20240822
565,양천구,22,13,20240822
566,영등포구,22,16,20240822
567,용산구,22,17,20240822
568,은평구,22,15,20240822
569,종로구,22,16,20240822
570,중구,22,16,20240822
571,중랑구,22,16,20240822
572,서울시 평균,23,29,20240823
573,강남구,23,35,20240823
574,강동구,23,26,20240823
575,강북구,23,30,20240823
576,강서구,23,29,20240823
577,관악구,23,37,20240823
578,광진구,23,29,20240823
579,구로구,23,21,20240823
580,금천구,23,28,20240823
581,노원구,23,31,20240823
582,도봉구,23,24,20240823
583,동대문구,23,34,20240823
584,동작구,23,28,20240823
585,마포구,23,29,20240823
586,서대문구,23,26,20240823
587,서초구,23,25,20240823
588,성동구,23,28,20240823
589,성북구,23,27,20240823
590,송파구,23,30,20240823
