,사용일자,노선명,역명,합계,구분
25844,20240808,경춘선,신내,5217,중랑구
31460,20240808,2호선,한양대,17803,성동구
28062,20240808,6호선,망원,30895,마포구
26682,20240808,5호선,둔촌동,17788,강동구
21064,20240808,1호선,동대문,18662,종로구
18470,20240808,3호선,남부터미널,64382,서초구
27510,20240808,6호선,광흥창,19177,마포구
6946,20240808,경부선,신길,15706,영등포구
35140,20240808,2호선,강남,175173,강남구
15342,20240808,5호선,서대문,43877,종로구
35324,20240808,2호선,방배,32933,서초구
30724,20240808,3호선,홍제,34496,서대문구
688,20240808,경부선,가산디지털단지,40154,금천구
15250,20240808,5호선,광화문,73108,종로구
33116,20240808,2호선,잠실새내,49167,송파구
35876,20240808,2호선,문래,49319,영등포구
32216,20240808,1호선,시청,53516,중구
34910,20240808,2호선,홍대입구,144636,마포구
19022,20240808,4호선,당고개,18113,노원구
7315,20240808,9호선,여의도,67567,영등포구
27898,20240808,2호선,합정,68587,마포구
26106,20240808,경의선,효창공원앞,7127,용산구
33392,20240808,1호선,종로5가,47470,종로구
29160,20240808,6호선,독바위,6070,은평구
18930,20240808,3호선,잠원,10497,서초구
6666,20240808,우이신설선,신설동,4383,동대문구
29804,20240808,6호선,새절,25048,은평구
8994,20240808,9호선2~3단계,삼성중앙,18147,강남구
20601,20240808,4호선,충무로,64374,중구
9822,20240808,7호선,중곡,22064,광진구
34036,20240808,2호선,아현,21188,마포구
30816,20240808,3호선,녹번,30103,은평구
20213,20240808,4호선,회현,45901,중구
3082,20240808,분당선,복정,6,송파구
6210,20240808,우이신설선,보문,3145,성북구
35784,20240808,2호선,구로디지털단지,121069,구로구
7499,20240808,9호선,당산,41470,영등포구
2184,20240808,8호선,강동구청,21953,강동구
9155,20240808,9호선2~3단계,선정릉,22609,강남구
27602,20240808,6호선,상수,20450,마포구
8902,20240808,9호선2~3단계,봉은사,55715,강남구
26590,20240808,5호선,방이,15554,송파구
9661,20240808,5호선,군자,24007,광진구
20305,20240808,4호선,명동,66440,중구
9982,20240808,중앙선,양평,7320,영등포구
35968,20240808,2호선,봉천,48617,관악구
5935,20240808,7호선,강남구청,36573,강남구
28996,20240808,3호선,연신내,66906,은평구
19639,20240808,경원선,창동,5,도봉구
3750,20240808,8호선,송파,19543,송파구
26314,20240808,5호선,마천,14038,송파구
19957,20240808,4호선,삼각지,13492,용산구
21777,20240808,4호선,혜화,73356,종로구
18170,20240808,분당선,도곡,15615,강남구
12766,20240808,5호선,신금호,13317,성동구
3198,20240808,8호선,장지,34350,송파구
5682,20240808,7호선,논현,40126,강남구
9270,20240808,9호선2~3단계,언주,26218,강남구
34312,20240808,2호선,도림천,2783,구로구
21685,20240808,4호선,쌍문,56813,도봉구
8738,20240808,2호선,종합운동장,35824,송파구
26774,20240808,5호선,상일동,29512,강동구
28246,20240808,6호선,월드컵경기장,8868,마포구
804,20240808,7호선,남구로,31908,구로구
7131,20240808,9호선,동작,3408,동작구
1264,20240808,7호선,신풍,22253,영등포구
5590,20240808,7호선,반포,12888,서초구
34404,20240808,2호선,양천구청,14179,양천구
2850,20240808,공항철도 1호선,김포공항,16047,강서구
22053,20240808,6호선,돌곶이,19840,성북구
4046,20240808,9호선2~3단계,석촌,18954,송파구
12674,20240808,5호선,행당,15650,성동구
31204,20240808,3호선,을지로3가,24925,중구
21961,20240808,5호선,아차산,28200,광진구
21593,20240808,4호선,수유,67235,강북구
18010,20240808,3호선,대치,26891,강남구
15802,20240808,5호선,애오개,14470,마포구
30264,20240808,7호선,숭실대입구,25181,동작구
21869,20240808,5호선,장한평,40531,동대문구
32932,20240808,3호선,금호,15860,성동구
7706,20240808,9호선2~3단계,둔촌오륜,2417,강동구
35232,20240808,2호선,서초,45215,서초구
33300,20240808,1호선,종각,85959,종로구
26406,20240808,5호선,거여,20152,송파구
7614,20240808,9호선2~3단계,중앙보훈병원,25202,강동구
15640,20240808,2호선,충정로,21680,서대문구
14968,20240808,1호선,종로3가,47982,종로구
5774,20240808,7호선,학동,52961,강남구
13064,20240808,6호선,청구,7691,중구
35692,20240808,2호선,신대방,50180,동작구
18286,20240808,3호선,매봉,26308,강남구
31920,20240808,2호선,잠실나루,31155,송파구
35416,20240808,2호선,낙성대,56579,관악구
21501,20240808,4호선,미아,29473,강북구
28154,20240808,6호선,마포구청,28701,마포구
19412,20240808,7호선,노원,50468,노원구
33024,20240808,3호선,동대입구,18573,중구
21225,20240808,4호선,한성대입구,25345,성북구
33484,20240808,3호선,안국,53362,종로구
31828,20240808,2호선,강변,59892,광진구
21317,20240808,4호선,길음,41720,성북구
25709,20240808,경원선,도봉산,11868,도봉구
21409,20240808,4호선,미아사거리,52290,강북구
1107,20240809,2호선,대림,49254,영등포구
10835,20240809,5호선,송정,12939,강서구
11111,20240809,4호선,남태령,2576,서초구
34589,20240809,2호선,용두,5368,동대문구
10927,20240809,5호선,개화산,12503,강서구
14262,20240809,2호선,을지로4가,31519,중구
10743,20240809,5호선,마곡,26029,강서구
3085,20240809,분당선,복정,7,송파구
28615,20240809,6호선,증산,19676,은평구
11413,20240809,4호선,사당,52461,동작구
